medcodeid	term_medcode
7141661000006113	Percutaneous mechanical thrombectomy of dialysis fistula using fluoroscopic guidance
7192731000006113	Fluoroscopic angiography of dialysis fistula using contrast with insertion of stent graft
7137441000006116	Fluoroscopic percutaneous angiography of dialysis fistula with insertion of drug eluting stent
7213991000006119	Doppler ultrasonography of arteriovenous fistula for haemodialysis
7214001000006111	Doppler ultrasonography of arteriovenous fistula for hemodialysis
7238631000006113	Refashioning of arteriovenous fistula
7315121000006114	Ultrasonography of dialysis shunt
8088131000006111	Malignant hypertensive end stage renal disease on dialysis
7484191000006117	Mode of dialysis access by patient choice
8048001000006110	End stage renal disease on dialysis due to hypertension
8030391000006118	Hypertensive heart AND chronic kidney disease on dialysis
7502601000006118	Arteriovenous fistula route
7315131000006112	Ultrasound scan of arteriovenous fistula
7315111000006118	Ultrasonography of arteriovenous fistula
7570591000006118	Fluoroscopy guided dialysis catheter procedure
7570601000006114	Dialysis catheter procedure using fluoroscopic guidance
7593681000006118	Hypertension concurrent and due to end stage renal disease on dialysis
8040331000006118	Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus
8027531000006113	End stage renal disease on dialysis due to type 2 diabetes mellitus
8040341000006111	Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus
8027511000006119	End stage renal disease on dialysis due to type 1 diabetes mellitus
7612311000006115	Spondyloarthropathy due to hemodialysis-associated amyloidosis
7612321000006111	Dialysis spondyloarthropathy
8041741000006117	Thrombosis of arteriovenous graft due to hemodialysis arteriovenous access device
8041751000006115	Thrombosis of arteriovenous graft caused by haemodialysis arteriovenous access device
8041761000006118	Thrombosis of arteriovenous graft caused by hemodialysis arteriovenous access device
8041731000006110	Thrombosis of arteriovenous graft due to haemodialysis arteriovenous access device
9479381000006115	Thrombosis of surgically created arteriovenous fistula
7659411000006114	Fluoroscopy guided angioplasty of arteriovenous fistula
7659421000006118	Angioplasty of arteriovenous fistula using fluoroscopic guidance
7664921000006117	Doppler ultrasound of arteriovenous fistula
7664931000006119	Doppler ultrasound scan of arteriovenous fistula
7664911000006113	Doppler ultrasonography of arteriovenous fistula
7688091000006111	Fluoroscopic angiography of arteriovenous graft
7714911000006116	CKD (chronic kidney disease) stage 5d
7714891000006118	Chronic kidney disease stage 5 on dialysis
7714901000006119	Chronic kidney disease 5d
7743081000006116	Doppler ultrasonography of arteriovenous graft
7743091000006118	Doppler ultrasound scan of arteriovenous graft
7743101000006112	Doppler ultrasound of arteriovenous graft
7767261000006115	Injection of arteriovenous fistula using fluoroscopic guidance
7767251000006117	Fluoroscopy guided injection of arteriovenous fistula
7780081000006117	Insertion of arteriovenous shunt using fluoroscopic guidance
7780071000006115	Fluoroscopy guided insertion of arteriovenous shunt
9896121000006112	Hyperparathyroidism due to end stage renal disease on dialysis
3514486019	Failure of surgically constructed arteriovenous fistula
3633852017	Fluoroscopic angiogram of arteriovenous shunt
3620864015	Fluoroscopic angiography of arteriovenous shunt
272283013	Declotting of thigh vein loop
