MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
298969019	774	F501E	F501E00	Other chronic infective otitis externa	232224009	347942018		32
298970018	43843	F501F	F501F00	Chronic infective otitis externa	232224009	347942018		32
298973016	641	F501y	F501y00	Other specified infective otitis externa	86981007	144257010		32
298974010	7182	F501z	F501z00	Infective otitis externa NOS	86981007	144257010		32
298975011	404371	F502	F502.00	Other otitis externa	3135009	6305018		32
298977015	52	F5021	F502100	Acute radiation otitis externa	194217007	298977015		32
298979017	497	F5023	F502300	Acute allergic otitis externa	232234000	347954018		15
298983017	578	F5025	F502500	Other reactive otitis externa	3135009	6304019		32
299014013	131940	F5101	F510100	Acute non-suppurative otitis media - serous	194240006	299013019		32
299022018	4251	F5112	F511200	Bilateral chronic serous otitis	194248004	299022018		32
299023011	1521	F5113	F511300	Unilateral chronic serous otitis	81564005	135302019		32
299024017	17486	F511z	F511z00	Chronic serous otitis media	81564005	135302019		32
299030017	121048	F5120	F512000	Chronic mucoid otitis media	78868004	130846016		32
299032013	8633	F512z	F512z00	Chronic mucoid otitis media NOS	78868004	130846016		32
299034014	4762	F513	F513.00	Chronic otitis media with effusion, other	78868004	130846016		32
299039016	244	F5140	F514000	Allergic otitis media	26169004	43844018		32
299040019	69348	F5141	F514100	Serous otitis media	80327007	133293016		32
299041015	50541	F5142	F514200	Catarrhal otitis media	29350000	49114013		32
299042010	845	F5143	F514300	Mucoid otitis media	78868004	503929012		32
299047016	301	F5150	F515000	Unspecified eustachian tube salpingitis	270491006	405110011		32
299048014	851	F5151	F515100	Acute eustachian tube salpingitis	194268005	299048014		32
299049018	270	F5152	F515200	Chronic eustachian tube salpingitis	194269002	299049018		32
299050018	805	F515z	F515z00	Eustachian tube salpingitis NOS	270491006	405110011		32
299056012	15275	F518	F518.00	Chronic otitis media with effusion	78868004	503941017		32
299061014	588933	F520	F520.00	Acute suppurative otitis media	194281003	299061014		32
299065017	66	F5203	F520300	Acute suppurative otitis media due to disease EC	194282005	299065017		32
299066016	74845	F520z	F520z00	Acute suppurative otitis media NOS	194281003	299061014		32
299067013	82157	F523	F523.00	Chronic suppurative otitis media	38394007	63479018		32
299068015	17079	F524	F524.00	Purulent otitis media NOS	39288006	65880011		32
299069011	3385	F5240	F524000	Bilateral suppurative otitis media	194286008	299069011		32
299070012	77944	F525	F525.00	Recurrent acute otitis media	194287004	299070012		32
299071011	492491	F526	F526.00	Acute left otitis media	194288009	299071011		32
299072016	535994	F527	F527.00	Acute right otitis media	194289001	299072016		32
299073014	205275	F528	F528.00	Acute bilateral otitis media	194290005	299073014		32
299102019	3364	F540	F540.00	Acute myringitis without otitis media	194311006	299102019		32
299103012	751	F5401	F540100	Unspecified acute tympanitis	194311006	299102019		32
299104018	6856	F540z	F540z00	Acute myringitis	297009	1580014		32
299132010	41	F5510	F551000	Unspecified adhesive middle ear disease	232257006	347983015		32
299133017	161	F551z	F551z00	Adhesive middle ear disease NOS	232257006	347983015		32
299517012	1014	FyuN0	FyuN000	[X]Other infective otitis externa	86981007	144257010		32
299518019	9154	FyuN1	FyuN100	[X]Other otitis externa	3135009	6305018		32
299521017	67	FyuN4	FyuN400	[X]Otitis externa in viral diseases classified elsewhere	86981007	144257010		32
299522012	1740	FyuN5	FyuN500	Otomycosis	53316003	88660016		32
299524013	2850	FyuN7	FyuN700	[X]Otitis externa in other diseases classified elsewhere	3135009	6305018		32
299529015	938	FyuP2	FyuP200	[X]Other chronic suppurative otitis media	38394007	63478014		32
299532017	1423	FyuP5	FyuP500	[X]Otitis media in other diseases classified elsewhere	65363002	108597015		32
299932011	94	G5203	G520300	Acute myocarditis - influenzal	194946005	299932011		32
301013015	1275	H01y	H01y.00	Other acute sinusitis	15805002	26785019		32
301014014	350	H01yz	H01yz00	Other acute sinusitis NOS	15805002	26785019		32
301015010	276466	H01z	H01z.00	Acute sinusitis NOS	15805002	26785019		32
301021014	292	H020	H020.00	Acute gangrenous pharyngitis	195655000	301021014		32
301022019	2241	H021	H021.00	Acute phlegmonous pharyngitis	195656004	301022019		32
301023012	8651	H022	H022.00	Acute ulcerative pharyngitis	195657008	301023012		32
301024018	22252	H023	H023.00	Acute bacterial pharyngitis	195658003	301024018		32
301025017	59	H0230	H023000	Acute pneumococcal pharyngitis	195659006	301025017		32
301026016	117	H0231	H023100	Acute staphylococcal pharyngitis	195660001	301026016		32
301027013	3285	H023z	H023z00	Acute bacterial pharyngitis NOS	195658003	301024018		32
301028015	181959	H024	H024.00	Acute viral pharyngitis	195662009	301028015		32
301035011	50015	H030	H030.00	Acute erythematous tonsillitis	195666007	301035011		32
301036012	255205	H031	H031.00	Acute follicular tonsillitis	195667003	301036012		32
301037015	11564	H032	H032.00	Acute ulcerative tonsillitis	195668008	301037015		32
301038013	2910	H033	H033.00	Acute catarrhal tonsillitis	195669000	301038013		32
301040015	227	H034	H034.00	Acute gangrenous tonsillitis	195670004	301040015		32
301041016	133008	H035	H035.00	Acute bacterial tonsillitis	195671000	301041016		32
301042011	49	H0350	H035000	Acute pneumococcal tonsillitis	195672007	301042011		32
301043018	145	H0351	H035100	Acute staphylococcal tonsillitis	195673002	301043018		32
301044012	8854	H035z	H035z00	Acute bacterial tonsillitis NOS	195671000	301041016		32
301046014	139959	H036	H036.00	Acute viral tonsillitis	195676005	301046014		32
301047017	258981	H037	H037.00	Recurrent acute tonsillitis	195677001	301047017		32
301049019	450595	H03z	H03z.00	Acute tonsillitis NOS	17741008	29982014		32
301053017	69	H0401	H040100	Acute ulcerative laryngitis	195681001	301053017		32
301054011	3441	H0402	H040200	Acute catarrhal laryngitis	195682008	301054011		32
301055012	300	H0403	H040300	Acute phlegmonous laryngitis	195683003	301055012		32
301057016	63	H0404	H040400	Acute haemophilus influenzae laryngitis	195684009	301057016		32
301058014	8	H0405	H040500	Acute pneumococcal laryngitis	195685005	301058014		32
301059018	58	H0406	H040600	Acute suppurative laryngitis	195686006	301059018		32
301063013	49068	H040w	H040w00	Viral laryngitis	441551009	2816881017		32
301064019	276	H040x	H040x00	Acute bacterial laryngitis	849571000000102	2201631000000118		32
301065018	27875	H040z	H040z00	Acute laryngitis NOS	6655004	12028011		32
301068016	16311	H041z	H041z00	Acute tracheitis NOS	26650005	44623012		32
301074016	2103	H042z	H042z00	Acute laryngotracheitis NOS	64375000	107009017		32
301080012	5412	H043z	H043z00	Acute epiglottitis	29608009	49531010		32
301082016	6019	H04z	H04z.00	Acute laryngitis and/or tracheitis	276443001	1489963015		32
301083014	29731	H05	H05..00	Other acute upper respiratory infections	54398005	90415012		32
301088017	84542	H054	H054.00	Recurrent upper respiratory tract infection	195708003	301088017		32
301089013	10469	H055	H055.00	Pharyngolaryngitis	195709006	301089013		32
301090016	13557	H05y	H05y.00	Other upper respiratory infections of multiple sites	54150009	89996011		32
301100011	1086	H0600	H060000	Acute fibrinous bronchitis	195714005	301100011		32
301101010	32	H0601	H060100	Acute membranous bronchitis	10509002	18268014		32
301103013	33372	H0603	H060300	Acute purulent bronchitis	195717003	301103013		32
301105018	2672	H0606	H060600	Acute pneumococcal bronchitis	195719000	301105018		32
301106017	101	H0607	H060700	Acute streptococcal bronchitis	195720006	301106017		32
301108016	763	H0608	H060800	Acute haemophilus influenzae bronchitis	195721005	301108016		32
301109012	115	H0609	H060900	Acute Neisseria catarrhalis bronchitis	195722003	301109012		32
301116013	358	H060E	H060E00	Acute bronchitis due to rhinovirus	195728004	301116013		32
301119018	1324	H060v	H060v00	Subacute bronchitis	36426008	60783018		32
301120012	25018	H060w	H060w00	Acute viral bronchitis	233601004	350046011		32
301121011	2508	H060x	H060x00	Acute bacterial bronchitis	233598009	350042013		32
301122016	75688	H060z	H060z00	Acute bronchitis NOS	10509002	18268014		32
301126018	100	H0613	H061300	Acute exudative bronchiolitis	195737004	301126018		32
301128017	10216	H0615	H061500	Acute bronchiolitis due to respiratory syncytial virus	195739001	301128017		32
301129013	668	H0616	H061600	Acute bronchiolitis due to other specified organisms	233602006	350047019		32
301130015	35411	H061z	H061z00	Acute bronchiolitis NOS	5505005	10187013		32
301132011	2486	H06z	H06z.00	Acute bronchitis or bronchiolitis NOS	10509002	18268014		32
301143015	156352	H07	H07..00	Chest cold	50417007	83997014		32
301158011	268	H1110	H111000	Woakes' ethmoiditis	195756009	301158011		32
301159015	78	H111z	H111z00	Polypoid sinus degeneration NOS	26808007	44865016		32
